Timesteps,MAPPO (ƛ = 0),MAPPO (ƛ = 0.05),MAPPO (ƛ = 0.10),MAPPO (ƛ = 0) (std),MAPPO (ƛ = 0.05) (std),MAPPO (ƛ = 0.10) (std)
930000,13.28125,14.375,12.375,0.6943851372544091,1.1059124671769844,0.9161701894801135
940000,12.9375,14.9375,12.1875,0.6891877793886415,1.1198497211628522,0.9161701894801135
950000,13.375,12.375,13.0625,0.7036274944541995,1.1335166138143349,0.8984466360105615
960000,12.484375,15,12.3125,0.6925406660146959,1.1331045872941905,0.9044311414669698
970000,13.109375,14.4375,13.5625,0.5920131603151892,1.0862272080065953,0.895741441
980000,12.859375,14.1875,13.8125,0.5914618645463723,1.0423008127193472,0.8972964862270874
990000,12.6875,14.25,13.5,0.5713869828247321,1.0433233951640117,0.8915738417147292
1000000,12.046875,14.125,14.5625,0.5690530643852423,1.0289911258455897,0.9246217967115523
1010000,12.234375,13.125,13.0625,0.5402851109160923,1.0106762168122363,0.9202215227118661
1020000,12.9375,12.75,12.9375,0.5417273638351289,0.9919870232570356,0.8825642865126947
1030000,13.25,14.625,14.25,0.5400775727361636,0.9960522831970606,0.8592486192338338
1040000,13,13.125,12.625,0.5473186829087313,0.9773958369700809,0.8260529678823293
1050000,13.328125,13.9375,12.75,0.565261024,0.9253862970946684,0.8249787745441418
1060000,12.796875,13,13.75,0.5484649506425757,0.8815156626548128,0.8147239677818733
1070000,12.8125,13.875,13.6875,0.4922740128765912,0.8713594214670067,0.8203916046971407
1080000,13.234375,12.3125,14.375,0.49910007915111715,0.8713594214670067,0.8453542114499527
1090000,12.953125,15.5,12.875,0.4677134732393329,0.9193623829002137,0.8408808710916754
1100000,13.46875,14.3125,12.75,0.48579521584566604,0.9075434190556774,0.8442248025505161
1110000,13.953125,13.1875,13.625,0.5278755234400989,0.9057333545159761,0.7962285382084413
1120000,13.265625,14.6875,12.6875,0.5343419677059813,0.9159153138085253,0.8017609256484325
1130000,13.53125,15,14.0625,0.49374369130630313,0.8944397406827628,0.8168292047378839
1140000,14.078125,14.5625,13.125,0.5273449805754368,0.9019754023457544,0.8155089069402801
1150000,13.296875,13.5625,12.9375,0.5098055770418127,0.8797183947281039,0.7690469359247543
1160000,13.71875,14.875,14.375,0.5274383628940279,0.8903215227057615,0.7748980281450387
